Time,Heat value
10/10/21 14:45,2697.2302
10/10/21 14:50,2649.2268
10/10/21 14:55,2579.0112
10/10/21 15:00,2515.8442
10/10/21 15:05,2458.4905
10/10/21 15:10,2404.267
10/10/21 15:15,2358.0598
10/10/21 15:20,2309.1008
10/10/21 15:25,2257.5984
10/10/21 15:30,2215.1248
10/10/21 15:35,2286.7217
10/10/21 15:40,2351.0723
10/10/21 15:45,2298.4724
10/10/21 15:50,2249.611
10/10/21 15:55,2198.2703
10/10/21 16:00,2149.848
10/10/21 16:05,2105.6743
10/10/21 16:10,2068.8242
10/10/21 16:15,2027.9653
10/10/21 16:20,1998.5372
10/10/21 16:25,1964.0298
10/10/21 16:30,1931.4327
10/10/21 16:35,1991.2642
10/10/21 16:40,2169.9915
10/10/21 16:45,2126.4607
10/10/21 16:50,2085.7463
10/10/21 16:55,2046.1222
10/10/21 17:00,2011.3208
10/10/21 17:05,1971.292
10/10/21 17:10,1939.7441
10/10/21 17:15,1908.923
10/10/21 17:20,2024.1853
10/10/21 17:25,2154.5034
10/10/21 17:30,2191.135
10/10/21 17:35,2172.0889
10/10/21 17:40,2149.3037
10/10/21 17:45,2117.4792
10/10/21 17:50,2086.7139
10/10/21 17:55,2059.249
10/10/21 18:00,2090.4912
10/10/21 18:05,2128.4954
10/10/21 18:10,2159.301
10/10/21 18:15,2207.4653
10/10/21 18:20,2289.212
10/10/21 18:25,2339.6929
10/10/21 18:30,2297.4822
10/10/21 18:35,2256.2825
10/10/21 18:40,2245.9536
10/10/21 18:45,2306.3105
10/10/21 18:50,2358.6428
10/10/21 18:55,2393.9731
10/10/21 19:00,2384.942
10/10/21 19:05,2382.684
10/10/21 19:10,2379.29
10/10/21 19:15,2395.353
10/10/21 19:20,2429.7007
10/10/21 19:25,2457.351
10/10/21 19:30,2471.4956
10/10/21 19:35,2461.999
10/10/21 19:40,2399.6973
10/10/21 19:45,2336.5786
10/10/21 19:50,2327.0774
10/10/21 19:55,2325.7383
10/10/21 20:00,2327.2048
10/10/21 20:05,2328.3796
10/10/21 20:10,2332.8398
10/10/21 20:15,2366.2944
10/10/21 20:20,2424.5972
10/10/21 20:25,2366.6091
10/10/21 20:30,2305.1516
10/10/21 20:35,2276.9614
10/10/21 20:40,2267.098
10/10/21 20:45,2252.493
10/10/21 20:50,2228
10/10/21 20:55,2202.3352
10/10/21 21:00,2176.2456
10/10/21 21:05,2154.0823
10/10/21 21:10,2230.3945
10/10/21 21:15,2315.2498
10/10/21 21:20,2383.539
10/10/21 21:25,2425.2158
10/10/21 21:30,2435.5115
10/10/21 21:35,2448.0444
10/10/21 21:40,2454.3276
10/10/21 21:45,2449.8528
10/10/21 21:50,2392.1611
10/10/21 21:55,2335.724
10/10/21 22:00,2286.522
10/10/21 22:05,2286.0808
10/10/21 22:10,2321.594
10/10/21 22:15,2355.8652
10/10/21 22:20,2351.532
10/10/21 22:25,2342.6714
10/10/21 22:30,2333.8816
10/10/21 22:35,2322.4927
10/10/21 22:40,2316.3733
